,jobtitle,company,city,state,country,language,formattedLocation,source,advertiserId,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations,refNum
15,"Software Engineer III, Google Workspace",Google,New York,NY,US,en,"New York, NY",Google,,"Fri, 04 Nov 2022 14:17:09 GMT","Review code developed by other <b>developers</b> and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and…",https://www.indeed.com/viewjob?jk=930c696941da8c28&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",930c696941da8c28,False,False,False,"New York, NY",2 days ago,,119676919403684550
16,Sr. Qlik Sense Developer -100% Remote,HealthFirst,New York,NY,US,en,"New York, NY",Healthfirst,,"Thu, 08 Sep 2022 16:48:28 GMT","Fiddler or Chrome <b>developer</b> tool experience. Meanwhile, the <b>developer</b> should have ability to customize scramble method for different QS applications.",https://www.indeed.com/viewjob?jk=0a7ea87f4ef3acd9&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",0a7ea87f4ef3acd9,False,False,False,"New York, NY 10007",30+ days ago,,HEALUSR014545EXTERNALENUSHOMEOFFICENEWYORKUNITEDSTATESOFAMERICA99999
17,Software Engineer,Carta,New York,NY,US,en,"New York, NY",Carta,,"Fri, 28 Oct 2022 23:54:23 GMT","Carta’s Core Product teams are responsible for solving problems by building delightful software products for our customers, from compensation tools for HR…",https://www.indeed.com/viewjob?jk=a8e819936b04cc67&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",a8e819936b04cc67,False,False,False,"New York, NY",8 days ago,,5382934003
18,Java Developer - Remote,CACI,Rome,NY,US,en,"Rome, NY",CACI,,"Thu, 06 Oct 2022 16:29:27 GMT","Minimum Clearance Required to Start: None. Percentage of Travel Required: Up to 10%. CACI helps the Air Force Research Laboratory explore, prototype, and…",https://www.indeed.com/viewjob?jk=03a32f24125202a2&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",03a32f24125202a2,False,False,False,"Rome, NY 13440",30+ days ago,,CACIGLOBAL272462EXTERNALENGLOBAL
19,Front-End Developer,Nespresso,New York,NY,US,en,"New York, NY",Nestle,,"Mon, 19 Sep 2022 15:52:53 GMT",This person will liaise with another local front end <b>developer</b> as well as between the US market and Headquarters in Switzerland (often through peer-programming)…,https://www.indeed.com/viewjob?jk=48c2053cf4f06d0b&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",48c2053cf4f06d0b,False,False,False,"New York, NY",30+ days ago,,851581601
20,JavaScript Developer,TP ICAP,New York,NY,US,en,"New York, NY",TP ICAP,27725031.0,"Tue, 13 Sep 2022 09:43:57 GMT","Our suite of end-user products runs on Web platforms, utilizing robust client-side JavaScript. On the product and design side of our team we are fortunate to…",https://www.indeed.com/viewjob?jk=83e40b8cd41334e2&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",83e40b8cd41334e2,False,False,False,"New York, NY 10018",30+ days ago,,R318
21,Mobile Application Developer,Barnes & Noble,Schenectady,NY,US,en,"Schenectady, NY",Barnes & Noble,,"Fri, 03 Jun 2022 18:26:55 GMT","Full stack <b>developer</b> with knowledge and understating of relational and non-relationship databases. JobSummary: The Mobile Application <b>Developer</b> will help plan,…",https://www.indeed.com/viewjob?jk=c15b231bebfb3fd1&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",c15b231bebfb3fd1,False,False,False,"Schenectady, NY 12345",5 months ago,,57431BR
22,Lead Game Developer,Scholastic,New York,NY,US,en,"New York, NY",Scholastic,,"Tue, 29 Mar 2022 18:41:09 GMT","Manage in-house game <b>developer</b> team, supporting staff and ensuring team’s deliverables meet expectations and project goals.",https://www.indeed.com/viewjob?jk=d648f09d3b641ea4&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",d648f09d3b641ea4,False,False,False,"New York, NY",7 months ago,,R10648
23,Backend Developer,FasTraxPOS,Rock Hill,NY,US,en,"Rock Hill, NY",FasTraxPOS,,"Fri, 21 Oct 2022 07:28:26 GMT","As the back end <b>developer</b>, the right candidate will be responsible for: Closely communicating with the front end <b>developer</b> and other team members to establish…",https://www.indeed.com/viewjob?jk=eb3f9bd2c5098cce&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",eb3f9bd2c5098cce,False,False,False,"Rock Hill, NY 12775",16 days ago,,collapse15
24,Python Developer,Rockstar Games New York & New England,New York,NY,US,en,"New York, NY",Games Job Board,,"Tue, 01 Nov 2022 23:58:53 GMT",3+ years of applicable professional experience as a python <b>developer</b>. The Rockstar Games Pipeline Team work alongside multiple departments to help integrate…,https://www.indeed.com/viewjob?jk=eb4147160d6e7532&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",eb4147160d6e7532,False,False,False,"New York, NY",4 days ago,,python-developer/216954
25,Full Stack Developer,The Powerline Group,Port Jefferson Station,NY,US,en,"Port Jefferson Station, NY",The Powerline Group,,"Thu, 20 Jun 2019 09:34:33 GMT",We are looking for a full stack <b>developer</b> to create and support our family of business and consumer mobile apps and web-based applications.,https://www.indeed.com/viewjob?jk=470c00aa06f17d0d&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",470c00aa06f17d0d,False,False,False,"Port Jefferson Station, NY 11776",3 years ago,,full-stack-developer
26,Early Careers: Software Engineer – Data,Aon,New York,NY,US,en,"New York, NY",Aon,,"Fri, 04 Nov 2022 20:09:08 GMT","Plus, our agile, inclusive environment allows you to manage your wellbeing and work/life balance, ensuring you can be your best self at Aon.",https://www.indeed.com/viewjob?jk=6de172afb511317b&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",6de172afb511317b,False,False,False,"New York, NY 10006",1 day ago,,59775-en-us-1
27,OpenSource JavaScript/React Developer,"JPMorgan Chase Bank, N.A.",New York,NY,US,en,"New York, NY",JPMorgan Chase,,"Wed, 19 Oct 2022 04:04:49 GMT","The OpenCell team is looking for a front end <b>developer</b> who is motivated to work on a big challenge, something that has never been done before .",https://www.indeed.com/viewjob?jk=30c1cacaf81a989f&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",30c1cacaf81a989f,False,False,False,"New York, NY",18 days ago,,278723438
28,Associate Software Developer,Columbia University,New York,NY,US,en,"New York, NY",Columbia University,,"Mon, 31 Oct 2022 07:38:53 GMT",Opening on: Jun 27 2022. Job Type: Officer of Administration. The Associate Software <b>Developer</b> develops and maintains web applications and systems for Columbia…,https://www.indeed.com/viewjob?jk=bf3582f46e66df5c&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",bf3582f46e66df5c,False,False,False,"New York, NY",6 days ago,,associate-software-developer-new-york-united-states
29,Software Engineer,Underdog.io,New York,NY,US,en,"New York, NY",Indeed,50377860.0,"Sun, 30 Oct 2022 15:54:33 GMT",We're looking for a *Software Engineer* to join an NYC based company in the Underdog.io network. The Underdog.io network is a curated group of some of the…,https://www.indeed.com/viewjob?jk=efd7da0284273fb0&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",efd7da0284273fb0,False,False,False,"New York, NY",7 days ago,,50377860-46-48
30,Cisco Developer (remote),Cognizant,Hollis,NY,US,en,"Hollis, NY",Cognizant,,"Wed, 26 Oct 2022 20:54:20 GMT",Cisco ICM development and Integration: Hands on experience in Cisco Call UCCE and tools. Understanding of End to end development of Cisco call flow.,https://www.indeed.com/viewjob?jk=e485d9d47bf60455&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",e485d9d47bf60455,False,False,False,"Hollis, NY",10 days ago,,00050926661
31,BackEnd JAVA Engineer - NYC,"JPMorgan Chase Bank, N.A.",New York,NY,US,en,"New York, NY",JPMorgan Chase,,"Tue, 01 Nov 2022 04:02:26 GMT","We have created a new organization and we are looking for solution-oriented, commercially minded, customer-focused engineers, used to working in an agile…",https://www.indeed.com/viewjob?jk=ddd810cda81c27dc&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",ddd810cda81c27dc,False,False,False,"New York, NY",5 days ago,,280507356
32,Front End Developer - Hybrid Solutions & Incubation,Deloitte,New York,NY,US,en,"New York, NY",Deloitte,,"Sun, 06 Nov 2022 07:38:05 GMT","Front End <b>Developer</b> - Hybrid Solutions & Incubation. Our firm is investing in new ways to deliver value to our clients, bringing IP to the market through the…",https://www.indeed.com/viewjob?jk=30ceb9d2f90660e3&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",30ceb9d2f90660e3,False,False,False,"New York, NY",11 hours ago,,126898-NY-New Y
33,Quant Developer,"JPMorgan Chase Bank, N.A.",New York,NY,US,en,"New York, NY",JPMorgan Chase,,"Tue, 01 Nov 2022 04:02:26 GMT","The Treasury/Chief Investment Office (T/CIO) is responsible for firmwide asset and liability management, including: New York,NY $90,000.00 - $125,000.00 / year.",https://www.indeed.com/viewjob?jk=b3ba3c8a9d37bc16&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",b3ba3c8a9d37bc16,False,False,False,"New York, NY",5 days ago,,280506843
34,"Software Engineer I, Offsite Ads",Etsy,Brooklyn,NY,US,en,"Brooklyn, NY",Etsy,,"Fri, 04 Nov 2022 05:24:57 GMT","You will participate in team agile ceremonies, both as a contributor and facilitator. Etsy is the global marketplace for unique and creative goods.",https://www.indeed.com/viewjob?jk=b8cd6fd297a62862&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",b8cd6fd297a62862,False,False,False,"Brooklyn, NY 11201",2 days ago,,743999862508725
35,Full Stack Engineer - Remote/Entry Level,LOCKHEED MARTIN CORPORATION,Albany,NY,US,en,"Albany, NY",Lockheed Martin Corporation,,"Tue, 01 Nov 2022 04:05:04 GMT","Experience using agile development practices, DevOps, and CI/CD tools. COVID-19 continues to significantly impact our employees, families and communities.",https://www.indeed.com/viewjob?jk=344dca007564860b&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",344dca007564860b,False,False,False,"Albany, NY 12203",5 days ago,,619364BR
36,Afrotech Conference 2022 - Software Engineering Full-Time,"JPMorgan Chase Bank, N.A.",New York,NY,US,en,"New York, NY",JPMorgan Chase,,"Fri, 21 Oct 2022 07:04:57 GMT","2023 SOFTWARE ENGINEER PROGRAM - FULL-TIME OPPORTUNITY. JPMorgan Chase & Co. is proud to be a corporate sponsor of the 2022 AFROTECH conference, and we are…",https://www.indeed.com/viewjob?jk=d2dbf5b64ed78ab9&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",d2dbf5b64ed78ab9,False,False,False,"New York, NY",16 days ago,,279072465
37,Web3 Frontend Developer,Real Vision,New York,NY,US,en,"New York, NY",Real Vision Group SEZC,,"Thu, 29 Sep 2022 00:36:49 GMT",Review pull requests in GitHub from other <b>developers</b>. Create and assign tasks to yourself and other <b>developers</b> in JIRA. We are looking for someone who:,https://www.indeed.com/viewjob?jk=79b2dc3cf0f8836b&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",79b2dc3cf0f8836b,False,False,False,"New York, NY 10001",30+ days ago,,c2d272c7-e2e1-4ec3-b33d-c10177c47ea5
38,OpenText Developer (CONTRACT) REMOTE,Broadridge,Edgewood,NY,US,en,"Edgewood, NY",Broadridge,,"Wed, 26 Oct 2022 23:15:16 GMT","Do you want to showcase your <b>developer</b> skills and technical expertise? At Broadridge, we've built a culture where the highest goal is to empower others to…",https://www.indeed.com/viewjob?jk=2d92ced790a68748&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmrpi3ou800,"indeed_clk(this,'1780');",2d92ced790a68748,False,False,False,"Edgewood, NY",10 days ago,,JR1051442-1
